CCG20CD,CCG20CDH,CCG20NM
E38000150,11X,NHS Somerset CCG
E38000004,07L,NHS Barking and Dagenham CCG
E38000153,05Q,NHS South East Staffordshire and Seisdon Peninsula CCG
E38000154,10V,NHS South Eastern Hampshire CCG
E38000006,02P,NHS Barnsley CCG
E38000007,99E,NHS Basildon and Brentwood CCG
E38000161,01T,NHS South Sefton CCG
E38000163,00N,NHS South Tyneside CCG
E38000008,02Q,NHS Bassetlaw CCG
E38000010,06F,NHS Bedfordshire CCG
E38000164,05R,NHS South Warwickshire CCG
E38000167,10X,NHS Southampton CCG
E38000014,00Q,NHS Blackburn with Darwen CCG
E38000015,00R,NHS Blackpool CCG
E38000168,99G,NHS Southend CCG
E38000170,01V,NHS Southport and Formby CCG
E38000016,00T,NHS Bolton CCG
E38000020,07P,NHS Brent CCG
E38000172,01X,NHS St Helens CCG
E38000173,05V,NHS Stafford and Surrounds CCG
E38000021,09D,NHS Brighton and Hove CCG
E38000024,00V,NHS Bury CCG
E38000174,01W,NHS Stockport CCG
E38000175,05W,NHS Stoke on Trent CCG
E38000025,02T,NHS Calderdale CCG
E38000026,06H,NHS Cambridgeshire and Peterborough CCG
E38000176,00P,NHS Sunderland CCG
E38000178,10C,NHS Surrey Heath CCG
E38000028,04Y,NHS Cannock Chase CCG
E38000030,99F,NHS Castle Point and Rochford CCG
E38000182,01Y,NHS Tameside and Glossop CCG
E38000031,09A,NHS Central London (Westminster) CCG
E38000034,00X,NHS Chorley and South Ribble CCG
E38000183,05X,NHS Telford and Wrekin CCG
E38000185,07G,NHS Thurrock CCG
E38000035,07T,NHS City and Hackney CCG
E38000038,05A,NHS Coventry and Rugby CCG
E38000186,08V,NHS Tower Hamlets CCG
E38000187,02A,NHS Trafford CCG
E38000044,02X,NHS Doncaster CCG
E38000045,11J,NHS Dorset CCG
E38000188,03Q,NHS Vale of York CCG
E38000190,03R,NHS Wakefield CCG
E38000046,05C,NHS Dudley CCG
E38000048,07W,NHS Ealing CCG
E38000191,05Y,NHS Walsall CCG
E38000192,08W,NHS Waltham Forest CCG
E38000049,06K,NHS East and North Hertfordshire CCG
E38000050,01A,NHS East Lancashire CCG
E38000194,02E,NHS Warrington CCG
E38000195,05H,NHS Warwickshire North CCG
E38000051,03W,NHS East Leicestershire and Rutland CCG
E38000052,02Y,NHS East Riding of Yorkshire CCG
